1,1,123.07,334.48,130.56,56.91999999999996,1,1,1.0
1,2,209.27,249.95,93.73999999999998,41.00999999999999,1,1,1.0
1,3,734.05,269.2,67.80000000000007,35.99000000000001,1,1,1.0
2,1,97.96,338.7,133.04000000000002,57.72000000000003,1,1,1.0
2,2,209.27,249.95,93.73999999999998,41.129999999999995,1,1,1.0
2,3,722.33,267.5,67.79999999999995,39.360000000000014,1,1,1.0
3,1,75.36,337.9,135.54000000000002,63.54000000000002,1,1,1.0
3,2,209.27,249.95,93.73999999999998,41.25,1,1,1.0
3,3,708.94,269.17,69.45999999999992,39.370000000000005,1,1,1.0
4,1,51.09,342.1,138.01,64.35999999999996,1,1,1.0
4,2,209.27,249.95,93.73999999999998,41.370000000000005,1,1,1.0
4,3,693.04,270.8,72.75999999999999,41.089999999999975,1,1,1.0
5,1,21.79,345.4,145.51000000000002,64.41000000000003,1,1,1.0
5,2,209.27,249.95,93.73999999999998,41.49000000000001,1,1,1.0
5,3,679.65,271.64,72.75999999999999,41.08000000000004,1,1,1.0
6,1,0.0,351.3,143.86,64.37,1,1,1.0
6,2,209.27,249.95,93.73999999999998,41.610000000000014,1,1,1.0
6,3,667.09,274.98,72.75999999999999,41.089999999999975,1,1,1.0
7,1,0.0,353.0,120.4,69.39999999999998,1,1,1.0
7,2,209.27,249.95,93.73999999999998,41.73000000000002,1,1,1.0
7,3,648.68,277.5,76.92000000000007,41.079999999999984,1,1,1.0
8,1,0.0,357.2,97.8,69.40000000000003,1,1,1.0
8,2,209.27,249.95,93.73999999999998,41.85000000000002,1,1,1.0
8,3,635.29,277.5,78.61000000000001,43.589999999999975,1,1,1.0
9,1,0.0,361.4,74.4,65.20000000000005,1,1,1.0
9,2,209.27,250.46,93.73999999999998,41.66,1,1,1.0
9,3,622.73,279.17,78.62,43.599999999999966,1,1,1.0
10,1,0.0,368.1,49.3,58.5,1,1,1.0
10,2,209.27,250.97,93.73999999999998,41.47,1,1,1.0
10,3,605.16,281.68,81.94000000000005,46.120000000000005,1,1,1.0
11,1,0.0,379.0,25.0,47.60000000000002,1,1,1.0
11,2,209.27,251.48,93.73999999999998,41.28,1,1,1.0
11,3,592.6,284.2,81.94999999999993,46.110000000000014,1,1,1.0
12,2,209.27,251.99,93.73999999999998,41.089999999999975,1,1,1.0
12,3,576.7,284.2,81.93999999999994,46.110000000000014,1,1,1.0
